estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_avgs,absolute_error,normalized_error,relative_error
181977898.0,6.8282,-1,1,1,15352,304,304,169,70,7,78,14,0,27,181977871.0,303.3298179466408,6739921.148148148
596709847.0,2.5753,-1,1,1,5497,104,104,104,60,21,18,5,0,25,596709822.0,994.6257788356719,23868392.88
787085975.0,0.0994,-1,1,1,13,13,13,13,1,5,3,4,0,25,787085950.0,1311.9542316321463,31483438.0
855255493.0,59.6697,3,1,1,425,204,204,204,0,0,0,204,0,21,855255472.0,1425.5826007527494,40726451.047619045
-2005002080.0,22.1316,-1,1,1,16712,2314,2314,2314,2073,40,190,11,0,24,2005002104.0,3342.0377974910575,83541754.33333333
734543117.0,0.2058,-1,3,3,13,13,39,31,2,12,8,9,0,25,734543092.0,1224.3731677151154,29381723.68
1296528018.0,0.0932,-1,1,1,17,17,17,17,6,4,3,4,0,25,1296527993.0,2161.1177112815744,51861119.72
2051201869.0,0.0321,-1,1,1,4,4,4,4,1,2,0,1,0,27,2051201842.0,3419.0458317081548,75970438.5925926
1166841029.0,13.5775,-1,1,1,25097,1051,1051,1051,111,72,800,68,0,22,1166841007.0,1944.9489560518323,53038227.59090909
867499973.0,59.4251,3,1,1,450,162,162,162,0,0,0,162,0,25,867499948.0,1445.992305820307,34699997.92
-840954892.0,27.6807,-1,1,1,19497,3815,3815,3815,1481,2307,10,17,0,27,840954919.0,1401.7457236962732,31146478.48148148
-890143861.0,20.5469,-1,1,1,19564,4165,4165,4165,1626,2189,350,0,0,23,890143884.0,1483.7363509986099,38701908.0
369470395.0,2.2027,-1,1,1,4849,100,100,79,39,21,18,1,0,25,369470370.0,615.8516936863055,14778814.8
1284428778.0,0.1096,-1,1,1,17,17,17,17,6,4,3,4,0,25,1284428753.0,2140.950092843546,51377150.12
1491203602.0,2.6357,-1,1,1,730,727,727,727,670,24,29,4,0,25,1491203577.0,2485.612712398364,59648143.08
